||||||||||||4|
08.06.18|14:34:27|1|ilias||00:00:09|3499||2||||4|
08.06.18|14:34:27|1|marika||00:00:09|3499||2||||4|
08.06.18|14:34:27|1|mitsaklas||00:00:09|3499||2||||4|
08.06.18|14:34:27|1|ilias||00:00:09|3499||2||||4|
08.06.18|14:35:20|1|koulis||00:00:10|3499||2||||4|
08.06.18|14:34:27|1|ilias||00:00:09|3499||2||||4|
08.06.18|14:35:49|1|3400||00:00:16|3499||2||||4|
08.06.18|14:35:59|1|koukou||00:00:06|3499||2||||4|
08.06.18|14:36:13|1|labrena||00:00:04|3499||2||||4|
08.06.18|14:34:27|1|ilias||00:00:09|3499||2||||4|
08.06.18|14:36:30|1|340LLK0||00:00:05|3499||2||||4|
01.08.18|10:19:07|77|mamalias||00:00:05|089700732688||2|||0|10|
08.06.18|14:36:30|1|3400||00:00:05|3499||2||||4|
08.06.18|14:36:30|1|3400||00:00:05|3499||2||||4|
08.06.18|14:36:30|1|3400||00:00:05|3499||2||||4|
08.06.18|14:36:30|1|3400||00:00:05|3499||2||||4|

